 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
188,Image_14482-1.jpg (red),12.396,16.372,0.581,6.755,961,367,132.510,3.446,2.296,0.436,0.762
189,Image_14482-1.jpg (red),14.463,17.688,0.581,7.423,1069,367,116.565,2.729,3.075,0.325,0.840
190,Image_14482-1.jpg (red),15.151,15.198,0.824,6.482,447,369,129.806,3.814,1.864,0.536,0.884
191,Image_14482-1.jpg (red),34.607,23.556,0.784,9.407,1097,370,131.424,5.179,1.936,0.516,0.895
192,Image_14482-1.jpg (red),16.873,21.636,0.453,8.634,466,388,54.782,4.979,2.088,0.479,0.664
193,Image_14482-1.jpg (red),70.075,32.743,0.821,11.333,1040,389,23.749,8.509,1.337,0.748,0.895
194,Image_14482-1.jpg (red),24.104,20.823,0.699,8.152,1116,371,104.744,4.855,1.833,0.546,0.841
195,Image_14482-1.jpg (red),23.588,19.591,0.772,7.388,628,375,141.843,5.196,1.361,0.735,0.870
196,Image_14482-1.jpg (red),26.859,22.910,0.643,9.062,533,395,74.055,4.564,2.243,0.446,0.839
197,Image_14482-1.jpg (red),39.256,27.848,0.636,11.173,911,374,105.068,4.965,2.398,0.417,0.865
198,Image_14482-1.jpg (red),43.560,26.834,0.760,9.278,513,397,79.695,6.888,1.238,0.808,0.839
199,Image_14482-1.jpg (red),65.942,32.441,0.787,11.394,675,381,146.889,8.350,1.174,0.852,0.914
200,Image_14482-1.jpg (red),30.647,23.841,0.678,9.580,471,399,72.350,4.564,2.275,0.440,0.856
201,Image_14482-1.jpg (red),24.793,19.733,0.800,7.651,705,378,130.601,4.941,1.350,0.741,0.920
202,Image_14482-1.jpg (red),51.308,36.407,0.486,10.955,774,377,127.304,7.237,1.540,0.649,0.801
203,Image_14482-1.jpg (red),22.383,20.622,0.661,9.138,973,377,129.472,3.871,2.723,0.367,0.867
204,Image_14482-1.jpg (red),16.873,16.615,0.768,6.168,1088,392,70.346,4.564,1.363,0.734,0.867
205,Image_14482-1.jpg (red),19.972,17.545,0.815,7.139,485,395,54.462,3.985,1.932,0.518,0.882
206,Image_14482-1.jpg (red),15.151,14.024,0.968,5.065,809,391,55.008,4.149,1.061,0.942,0.926
207,Image_14482-1.jpg (red),18.078,16.028,0.884,5.779,1079,393,68.962,4.564,1.236,0.809,0.894
208,Image_14482-1.jpg (red),22.383,21.108,0.631,7.617,610,382,150.642,5.381,1.487,0.673,0.769
209,Image_14482-1.jpg (red),13.257,13.094,0.972,4.731,818,382,127.875,3.734,1.080,0.926,0.945
210,Image_14482-1.jpg (red),12.741,14.754,0.736,6.320,558,383,113.199,2.905,2.276,0.439,0.914
211,Image_14482-1.jpg (red),20.833,19.306,0.702,7.981,1091,401,62.103,3.955,2.272,0.440,0.858
212,Image_14482-1.jpg (red),23.243,22.282,0.588,8.402,1031,385,122.905,4.301,2.515,0.398,0.808
213,Image_14482-1.jpg (red),24.965,22.181,0.638,8.463,648,406,78.690,4.564,1.871,0.535,0.861
214,Image_14482-1.jpg (red),24.104,21.552,0.652,8.402,897,405,69.775,4.609,1.927,0.519,0.814
215,Image_14482-1.jpg (red),51.308,33.171,0.586,12.640,633,387,113.199,6.224,2.508,0.399,0.842
216,Image_14482-1.jpg (red),24.621,20.865,0.711,7.139,837,389,144.462,5.297,1.174,0.852,0.844
217,Image_14482-1.jpg (red),23.760,20.865,0.686,8.215,575,388,135.000,5.281,1.392,0.718,0.852
218,Image_14482-1.jpg (red),33.574,22.240,0.853,8.014,792,394,158.749,6.162,1.244,0.804,0.901
219,Image_14482-1.jpg (red),18.767,16.959,0.820,6.042,1113,402,74.055,4.564,1.235,0.809,0.872
220,Image_14482-1.jpg (red),30.130,22.282,0.763,8.402,1015,389,122.905,5.010,1.788,0.559,0.891
221,Image_14482-1.jpg (red),12.913,14.268,0.797,5.410,497,390,122.471,3.467,1.674,0.598,0.877
222,Image_14482-1.jpg (red),21.005,22.667,0.514,8.664,997,410,73.301,4.564,2.065,0.484,0.739
223,Image_14482-1.jpg (red),20.489,21.837,0.540,9.213,1096,408,54.162,4.187,2.477,0.404,0.763
224,Image_14482-1.jpg (red),25.482,19.893,0.809,6.704,934,400,21.801,5.753,1.225,0.817,0.884
225,Image_14482-1.jpg (red),25.482,20.722,0.746,7.353,753,403,16.390,5.639,1.153,0.868,0.818
226,Image_14482-1.jpg (red),17.562,19.993,0.552,6.320,825,392,113.199,4.141,1.455,0.687,0.791
227,Image_14482-1.jpg (red),14.979,17.931,0.585,5.984,957,393,146.310,4.979,1.117,0.895,0.737
228,Image_14482-1.jpg (red),48.209,28.049,0.770,9.898,1046,408,33.024,7.523,1.391,0.719,0.890
229,Image_14482-1.jpg (red),90.563,39.240,0.739,13.187,1079,425,77.276,10.130,1.230,0.813,0.886
230,Image_14482-1.jpg (red),18.423,16.514,0.849,5.644,452,398,143.973,4.564,1.109,0.901,0.907
231,Image_14482-1.jpg (red),24.965,20.035,0.782,7.927,1130,396,137.121,5.055,1.491,0.671,0.884
232,Image_14482-1.jpg (red),24.449,19.549,0.804,7.388,867,397,128.157,5.044,1.391,0.719,0.882
233,Image_14482-1.jpg (red),62.499,36.608,0.586,14.523,423,423,36.870,6.324,2.600,0.385,0.831
234,Image_14482-1.jpg (red),10.330,11.778,0.936,4.731,618,407,37.875,3.521,1.394,0.718,0.896
235,Image_14482-1.jpg (red),16.873,16.129,0.815,5.536,709,403,167.005,4.979,1.040,0.962,0.852
236,Image_14482-1.jpg (red),33.918,29.667,0.484,12.337,1109,401,132.274,4.564,3.036,0.329,0.783
237,Image_14482-1.jpg (red),11.536,13.295,0.820,4.731,511,406,164.745,3.985,1.178,0.849,0.817
238,Image_14482-1.jpg (red),32.713,22.726,0.796,9.110,664,405,149.931,5.281,1.633,0.612,0.900
239,Image_14482-1.jpg (red),34.951,23.799,0.775,8.268,848,402,107.526,6.309,1.249,0.800,0.868
240,Image_14482-1.jpg (red),74.035,40.556,0.566,12.816,554,430,60.945,10.487,1.290,0.775,0.785
241,Image_14482-1.jpg (red),19.283,21.393,0.529,9.361,919,403,102.804,2.490,3.648,0.274,0.914
242,Image_14482-1.jpg (red),10.330,11.778,0.936,4.639,903,404,116.565,3.320,1.261,0.793,0.889
243,Image_14482-1.jpg (red),54.751,30.396,0.745,11.477,963,405,102.529,7.884,1.358,0.737,0.871
244,Image_14482-1.jpg (red),11.880,13.337,0.839,5.281,1032,406,135.000,3.479,1.358,0.737,0.896
245,Image_14482-1.jpg (red),44.593,32.056,0.545,11.574,602,406,104.534,6.639,2.140,0.467,0.791
