 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_314_T0025-1.tif (red),73.0,31.1,0.9,10.6,824,232,25.6,9.5,1.1,0.9,1.0
2,Process_314_T0025-1.tif (red),443.3,85.5,0.8,32.5,857,232,169.7,17.3,2.0,0.5,1.0
3,Process_314_T0025-1.tif (red),515.7,88.8,0.8,31.0,832,265,164.5,21.0,1.5,0.7,1.0
4,Process_314_T0025-1.tif (red),81.4,34.5,0.9,12.3,762,284,24.0,8.9,1.4,0.7,0.9
5,Process_314_T0025-1.tif (red),287.9,66.2,0.8,22.9,914,278,144.6,16.4,1.4,0.7,1.0
6,Process_314_T0025-1.tif (red),2972.6,212.9,0.8,70.3,741,425,49.5,54.4,1.3,0.8,1.0
7,Process_314_T0025-1.tif (red),185.4,50.6,0.9,16.6,566,300,143.1,14.5,1.1,0.9,1.0
8,Process_314_T0025-1.tif (red),155.8,49.7,0.8,18.0,908,308,157.0,11.4,1.5,0.6,0.9
9,Process_314_T0025-1.tif (red),376.7,76.0,0.8,27.5,949,318,155.0,18.4,1.5,0.7,1.0
10,Process_314_T0025-1.tif (red),1476.2,159.2,0.7,59.0,529,348,140.7,30.9,1.9,0.5,1.0
11,Process_314_T0025-1.tif (red),1059.6,143.9,0.6,56.8,876,353,148.7,21.7,2.6,0.4,1.0
12,Process_314_T0025-1.tif (red),489.0,94.0,0.7,36.8,677,435,67.5,17.7,2.3,0.4,0.9
13,Process_314_T0025-1.tif (red),273.2,62.8,0.9,21.8,1005,405,31.0,17.3,1.3,0.8,1.0
14,Process_314_T0025-1.tif (red),447.1,82.5,0.8,30.3,1068,380,130.0,20.2,1.6,0.6,1.0
15,Process_314_T0025-1.tif (red),1255.7,134.9,0.9,43.1,997,449,169.4,39.3,1.1,0.9,1.0
16,Process_314_T0025-1.tif (red),25.0,18.1,1.0,6.2,854,431,19.7,5.8,1.1,0.9,0.9
17,Process_314_T0025-1.tif (red),372.1,73.5,0.9,25.5,890,460,22.0,18.5,1.4,0.7,1.0
18,Process_314_T0025-1.tif (red),840.6,118.1,0.8,46.2,513,517,40.3,22.9,2.0,0.5,1.0
19,Process_314_T0025-1.tif (red),317.8,69.9,0.8,24.3,802,452,146.9,16.2,1.3,0.7,1.0
20,Process_314_T0025-1.tif (red),304.2,65.4,0.9,23.2,1121,451,126.3,17.3,1.3,0.8,1.0
21,Process_314_T0025-1.tif (red),154.8,47.5,0.9,16.5,719,455,141.1,13.1,1.1,0.9,1.0
22,Process_314_T0025-1.tif (red),294.2,69.3,0.8,25.2,751,460,152.6,15.8,1.5,0.7,1.0
23,Process_314_T0025-1.tif (red),221.4,56.3,0.9,19.9,669,499,54.3,14.8,1.4,0.7,1.0
24,Process_314_T0025-1.tif (red),1403.9,167.8,0.6,60.2,932,480,137.5,35.8,1.9,0.5,0.9
25,Process_314_T0025-1.tif (red),596.9,92.8,0.9,30.9,1073,493,143.7,24.8,1.2,0.8,1.0
26,Process_314_T0025-1.tif (red),432.2,82.9,0.8,29.2,677,509,22.6,21.4,1.3,0.8,1.0
27,Process_314_T0025-1.tif (red),2156.6,200.4,0.7,70.1,787,513,156.6,39.7,1.9,0.5,1.0
28,Process_314_T0025-1.tif (red),667.7,105.6,0.8,39.0,603,565,51.9,23.0,1.6,0.6,1.0
29,Process_314_T0025-1.tif (red),290.3,67.0,0.8,23.3,668,512,112.0,17.0,1.3,0.8,1.0
30,Process_314_T0025-1.tif (red),398.8,76.2,0.9,25.5,480,548,16.1,20.4,1.3,0.8,1.0
31,Process_314_T0025-1.tif (red),491.9,87.4,0.8,30.8,722,579,37.3,19.8,1.5,0.7,1.0
32,Process_314_T0025-1.tif (red),1032.9,128.1,0.8,46.6,1080,562,124.1,28.7,1.7,0.6,1.0
33,Process_314_T0025-1.tif (red),267.6,61.8,0.9,20.9,778,602,49.0,17.6,1.1,0.9,1.0
34,Process_314_T0025-1.tif (red),882.9,119.1,0.8,42.6,446,583,162.4,25.9,1.7,0.6,1.0
35,Process_314_T0025-1.tif (red),427.7,81.3,0.8,29.8,567,623,51.2,19.2,1.5,0.6,1.0
36,Process_314_T0025-1.tif (red),893.2,128.6,0.7,49.9,615,579,152.8,23.2,2.2,0.5,0.9
37,Process_314_T0025-1.tif (red),697.3,109.6,0.7,39.7,734,590,132.0,22.1,1.8,0.5,0.9
38,Process_314_T0025-1.tif (red),914.9,128.1,0.7,49.2,874,661,25.5,24.3,2.2,0.5,0.9
39,Process_314_T0025-1.tif (red),609.0,100.9,0.8,37.5,976,675,35.1,21.8,1.8,0.5,0.9
40,Process_314_T0025-1.tif (red),372.4,72.2,0.9,23.5,830,668,54.3,20.7,1.1,0.9,1.0
41,Process_314_T0025-1.tif (red),1218.3,137.2,0.8,50.8,520,715,31.0,29.6,1.8,0.6,1.0
42,Process_314_T0025-1.tif (red),1280.5,147.2,0.7,55.4,645,648,140.5,27.9,2.1,0.5,1.0
43,Process_314_T0025-1.tif (red),462.5,82.1,0.9,29.4,455,643,126.4,21.3,1.4,0.7,1.0
44,Process_314_T0025-1.tif (red),217.8,60.5,0.7,20.8,1095,687,35.3,15.5,1.3,0.7,0.9
45,Process_314_T0025-1.tif (red),848.1,117.8,0.8,43.2,785,662,132.3,23.7,1.8,0.5,1.0
46,Process_314_T0025-1.tif (red),244.1,63.9,0.8,23.1,1005,702,37.7,13.4,1.8,0.6,0.9
47,Process_314_T0025-1.tif (red),192.1,53.3,0.8,17.5,1054,676,162.0,14.9,1.1,0.9,0.9
48,Process_314_T0025-1.tif (red),363.8,76.7,0.8,26.0,1106,691,149.3,19.7,1.2,0.8,0.9
49,Process_314_T0025-1.tif (red),964.7,127.8,0.7,48.6,882,671,129.8,26.1,1.9,0.5,0.9
50,Process_314_T0025-1.tif (red),236.9,65.7,0.7,23.7,966,687,95.0,16.0,1.7,0.6,0.9
51,Process_314_T0025-1.tif (red),305.8,72.4,0.7,25.2,991,699,98.5,16.9,1.5,0.7,0.9
52,Process_314_T0025-1.tif (red),1666.1,154.4,0.9,49.9,566,803,43.7,42.9,1.1,0.9,1.0
53,Process_314_T0025-1.tif (red),706.6,108.6,0.8,40.4,1038,771,38.8,22.4,1.8,0.5,1.0
54,Process_314_T0025-1.tif (red),713.7,100.1,0.9,32.9,464,759,16.8,28.7,1.1,0.9,1.0
55,Process_314_T0025-1.tif (red),926.6,123.7,0.8,44.4,772,775,169.2,27.2,1.7,0.6,1.0
56,Process_314_T0025-1.tif (red),70.9,32.2,0.9,10.9,975,763,133.5,9.1,1.0,1.0,0.9
57,Process_314_T0025-1.tif (red),1685.1,159.1,0.8,57.0,979,887,56.9,39.3,1.5,0.7,1.0
58,Process_314_T0025-1.tif (red),751.0,115.0,0.7,45.3,675,834,28.4,21.2,2.1,0.5,1.0
