 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_402_T0025.tif (red),1449.0,162.8,0.7,63.8,831,407,70.6,27.9,2.3,0.4,1.0
2,Process_402_T0025.tif (red),348.3,80.3,0.7,32.3,757,367,77.4,14.0,2.3,0.4,0.9
3,Process_402_T0025.tif (red),255.2,62.2,0.8,22.5,613,365,64.9,17.0,1.2,0.8,0.9
4,Process_402_T0025.tif (red),294.6,72.4,0.7,26.2,721,375,64.7,17.6,1.4,0.7,0.9
5,Process_402_T0025.tif (red),21.9,24.5,0.5,9.8,1096,340,126.4,4.6,3.0,0.3,0.7
6,Process_402_T0025.tif (red),335.4,73.4,0.8,24.6,1053,400,53.9,19.0,1.3,0.7,0.9
7,Process_402_T0025.tif (red),290.8,64.3,0.9,21.3,617,365,159.4,18.6,1.1,0.9,1.0
8,Process_402_T0025.tif (red),544.8,88.3,0.9,31.5,504,369,122.6,24.0,1.3,0.8,1.0
9,Process_402_T0025.tif (red),2518.7,215.3,0.7,77.8,724,374,114.9,45.6,1.6,0.6,0.9
10,Process_402_T0025.tif (red),127.6,41.3,0.9,13.9,985,377,128.9,12.0,1.1,0.9,1.0
11,Process_402_T0025.tif (red),667.7,111.4,0.7,31.3,870,464,58.0,27.8,1.1,0.9,1.0
12,Process_402_T0025.tif (red),307.2,66.5,0.9,23.0,947,453,82.7,16.9,1.4,0.7,1.0
13,Process_402_T0025.tif (red),266.4,61.1,0.9,20.7,608,401,106.3,16.6,1.2,0.8,1.0
14,Process_402_T0025.tif (red),342.8,69.6,0.9,23.8,975,452,41.5,18.9,1.2,0.8,1.0
15,Process_402_T0025.tif (red),385.7,76.9,0.8,27.1,477,407,101.5,18.2,1.5,0.7,1.0
16,Process_402_T0025.tif (red),956.9,127.6,0.7,46.7,520,453,106.5,27.9,1.7,0.6,0.9
17,Process_402_T0025.tif (red),349.5,74.0,0.8,26.4,620,518,56.6,18.3,1.3,0.8,1.0
18,Process_402_T0025.tif (red),1426.1,152.5,0.8,54.3,836,464,110.1,38.2,1.4,0.7,1.0
19,Process_402_T0025.tif (red),395.5,77.6,0.8,28.0,588,478,105.5,17.1,1.6,0.6,1.0
20,Process_402_T0025.tif (red),338.7,70.5,0.9,25.5,481,491,102.2,17.2,1.5,0.7,1.0
21,Process_402_T0025.tif (red),427.5,77.6,0.9,26.0,997,525,22.5,21.2,1.2,0.8,1.0
22,Process_402_T0025.tif (red),206.6,57.2,0.8,19.5,620,519,156.2,13.7,1.3,0.8,1.0
23,Process_402_T0025.tif (red),329.9,67.3,0.9,22.7,435,573,66.3,18.3,1.2,0.8,1.0
24,Process_402_T0025.tif (red),490.9,86.0,0.8,30.7,1058,588,58.2,22.3,1.4,0.7,1.0
25,Process_402_T0025.tif (red),2392.2,208.7,0.7,77.1,751,744,69.5,44.1,1.8,0.6,0.9
26,Process_402_T0025.tif (red),421.0,77.8,0.9,25.8,573,618,43.7,21.0,1.2,0.8,1.0
27,Process_402_T0025.tif (red),1030.8,146.2,0.6,60.5,1059,626,16.3,22.0,2.9,0.3,0.9
28,Process_402_T0025.tif (red),1877.6,186.0,0.7,71.3,460,732,58.8,33.7,2.2,0.5,1.0
29,Process_402_T0025.tif (red),1013.1,151.8,0.6,48.1,910,611,133.6,35.5,1.4,0.7,0.9
30,Process_402_T0025.tif (red),2679.7,244.4,0.6,72.3,901,787,87.7,61.3,1.2,0.8,0.8
31,Process_402_T0025.tif (red),143.9,45.2,0.9,16.6,659,637,22.1,11.6,1.4,0.7,1.0
32,Process_402_T0025.tif (red),522.7,89.3,0.8,30.8,1111,680,25.5,23.2,1.3,0.8,1.0
33,Process_402_T0025.tif (red),669.6,100.8,0.8,36.9,545,725,58.8,22.5,1.6,0.6,1.0
34,Process_402_T0025.tif (red),431.8,85.6,0.7,30.7,1110,681,108.9,19.1,1.6,0.6,0.9
35,Process_402_T0025.tif (red),1256.9,144.3,0.8,50.5,1007,693,142.0,33.7,1.5,0.6,0.9
36,Process_402_T0025.tif (red),456.4,85.2,0.8,28.6,701,704,109.5,21.4,1.3,0.8,1.0
37,Process_402_T0025.tif (red),726.9,104.7,0.8,38.3,597,791,56.5,23.6,1.7,0.6,1.0
38,Process_402_T0025.tif (red),1018.7,137.3,0.7,51.8,512,850,83.1,25.1,2.2,0.4,0.9
39,Process_402_T0025.tif (red),450.4,78.9,0.9,27.0,755,767,143.1,22.3,1.2,0.8,1.0
40,Process_402_T0025.tif (red),492.6,88.8,0.8,29.4,641,778,158.5,24.6,1.1,0.9,0.9
41,Process_402_T0025.tif (red),42.9,44.1,0.3,16.8,453,772,130.0,7.6,2.5,0.4,0.5
42,Process_402_T0025.tif (red),655.6,102.3,0.8,36.0,914,785,165.3,24.5,1.4,0.7,0.9
43,Process_402_T0025.tif (red),346.9,70.3,0.9,24.4,1052,830,58.2,18.9,1.3,0.8,1.0
44,Process_402_T0025.tif (red),861.9,127.2,0.7,42.6,649,822,144.9,27.1,1.4,0.7,0.9
45,Process_402_T0025.tif (red),482.3,90.1,0.7,32.6,976,841,165.3,18.3,1.8,0.6,1.0
46,Process_402_T0025.tif (red),468.1,81.6,0.9,26.8,588,811,106.2,22.8,1.2,0.9,1.0
47,Process_402_T0025.tif (red),657.9,100.6,0.8,36.1,734,881,15.3,21.8,1.7,0.6,1.0
48,Process_402_T0025.tif (red),389.1,75.1,0.9,25.2,839,866,133.7,20.3,1.3,0.8,1.0
49,Process_402_T0025.tif (red),379.0,77.3,0.8,26.9,756,910,13.4,20.3,1.3,0.8,0.9
50,Process_402_T0025.tif (red),127.4,42.4,0.9,14.1,675,933,47.4,12.4,1.1,0.9,0.9
51,Process_402_T0025.tif (red),197.3,73.2,0.5,26.3,730,921,164.4,12.4,2.1,0.5,0.9
52,Process_402_T0025.tif (red),361.0,77.0,0.8,28.2,744,939,138.6,20.1,1.3,0.7,1.0
