 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
657,Image_14119-3.tif,13.013,14.228,0.808,5.925,238,511,167.905,2.897,1.841,0.543,0.916
658,Image_14119-3.tif,11.986,16.084,0.582,6.543,182,513,161.565,3.476,1.908,0.524,0.741
659,Image_14119-3.tif,24.485,20.08,0.763,7.034,412,514,151.928,4.996,1.309,0.764,0.861
660,Image_14119-3.tif,20.718,19.052,0.717,7.238,58,513,120.964,4.354,1.565,0.639,0.871
661,Image_14119-3.tif,24.485,21.008,0.697,7.46,648,529,70.56,5.606,1.465,0.683,0.836
662,Image_14119-3.tif,30.649,24.803,0.626,8.521,667,512,119.055,5.879,1.565,0.639,0.794
663,Image_14119-3.tif,46.573,29.284,0.682,10.017,367,532,51.71,6.935,1.205,0.83,0.862
664,Image_14119-3.tif,22.259,18.667,0.803,6.543,772,524,18.435,5.182,1.18,0.847,0.878
665,Image_14119-3.tif,13.698,14.571,0.811,5.051,83,515,124.992,4.138,1.145,0.874,0.894
666,Image_14119-3.tif,36.128,26.015,0.671,9.381,20,515,131.424,6.876,1.277,0.783,0.868
667,Image_14119-3.tif,15.753,18.224,0.596,6.424,347,518,165.069,4.447,1.283,0.78,0.751
668,Image_14119-3.tif,10.273,12.473,0.83,4.983,704,516,138.366,3.31,1.228,0.815,0.889
669,Image_14119-3.tif,31.677,22.019,0.821,7.851,750,517,161.565,4.966,1.496,0.668,0.923
670,Image_14119-3.tif,22.602,18.466,0.833,7.034,287,518,118.072,4.422,1.603,0.624,0.904
671,Image_14119-3.tif,19.691,18.466,0.726,7.047,714,518,139.764,4.262,1.688,0.593,0.871
672,Image_14119-3.tif,12.671,16.084,0.615,6.477,731,523,153.435,3.146,2.173,0.46,0.791
673,Image_14119-3.tif,46.402,33.28,0.526,12.303,431,538,19.654,5.606,2.61,0.383,0.783
674,Image_14119-3.tif,44.347,28.398,0.691,10.444,45,523,123.69,5.492,1.873,0.534,0.892
675,Image_14119-3.tif,32.875,26.074,0.608,10.077,269,523,109.179,6.033,1.79,0.559,0.803
676,Image_14119-3.tif,44.005,29.142,0.651,10.598,492,527,141.34,6.316,1.722,0.581,0.812
677,Image_14119-3.tif,14.212,15.499,0.743,5.763,506,527,158.962,4.256,1.311,0.763,0.822
678,Image_14119-3.tif,106.844,55.884,0.43,18.212,513,549,21.318,8.423,2.122,0.471,0.855
679,Image_14119-3.tif,75.168,44.766,0.471,17.404,746,524,118.393,7.746,2.072,0.483,0.784
680,Image_14119-3.tif,45.032,27.729,0.736,10.068,84,533,170.538,6.281,1.776,0.563,0.872
681,Image_14119-3.tif,21.232,19.294,0.717,7.034,68,528,151.928,4.552,1.301,0.769,0.861
682,Image_14119-3.tif,16.609,16.669,0.751,6.672,307,532,150.255,4.055,1.695,0.59,0.858
683,Image_14119-3.tif,10.445,12.431,0.849,4.718,346,531,164.745,3.476,1.358,0.736,0.841
684,Image_14119-3.tif,29.964,22.32,0.756,8.768,672,539,19.29,5.262,1.84,0.544,0.862
685,Image_14119-3.tif,44.005,28.314,0.69,9.445,217,549,28.811,7.57,1.195,0.837,0.83
686,Image_14119-3.tif,86.811,41.916,0.621,14.925,464,533,136.123,9.47,1.754,0.57,0.864
687,Image_14119-3.tif,10.273,12.088,0.883,4.826,606,540,30.964,3.443,1.403,0.713,0.863
688,Image_14119-3.tif,10.273,11.988,0.898,4.476,567,533,123.69,3.673,1.181,0.847,0.876
689,Image_14119-3.tif,28.252,21.877,0.742,7.697,713,533,126.254,5.888,1.197,0.835,0.855
690,Image_14119-3.tif,33.218,25.004,0.668,9.113,392,536,129.472,4.996,1.808,0.553,0.836
691,Image_14119-3.tif,48.457,36.649,0.453,14.641,322,539,132.709,4.884,3.495,0.286,0.782
692,Image_14119-3.tif,11.472,14.329,0.702,5.968,168,537,146.31,3.146,2.175,0.46,0.832
693,Image_14119-3.tif,24.828,21.192,0.695,8.64,645,540,163.301,3.31,2.466,0.405,0.945
694,Image_14119-3.tif,22.088,19.152,0.757,7.949,118,541,128.66,4.309,2.134,0.469,0.86
695,Image_14119-3.tif,442.958,99.698,0.56,33.002,429,543,120.101,22.879,1.313,0.762,0.845
696,Image_14119-3.tif,23.458,22.521,0.581,7.227,617,549,166.759,5.251,1.319,0.758,0.848
697,Image_14119-3.tif,10.445,12.916,0.787,5.185,180,546,151.39,3.31,1.52,0.658,0.841
698,Image_14119-3.tif,14.897,15.056,0.826,6.11,409,546,151.699,3.511,1.841,0.543,0.902
699,Image_14119-3.tif,47.6,27.47,0.793,10.444,578,545,146.31,6.258,1.542,0.648,0.941
700,Image_14119-3.tif,15.753,19.879,0.501,7.46,85,554,19.44,4.144,2.055,0.487,0.716
701,Image_14119-3.tif,23.115,19.779,0.743,7.46,726,556,33.69,4.138,1.742,0.574,0.879
702,Image_14119-3.tif,17.807,17.438,0.736,6.543,258,556,34.695,3.677,1.79,0.559,0.897
703,Image_14119-3.tif,36.128,23.39,0.83,7.807,492,548,147.995,7.032,1.043,0.959,0.913
704,Image_14119-3.tif,14.897,16.327,0.702,6.672,235,548,150.255,3.193,2.234,0.448,0.87
705,Image_14119-3.tif,82.016,40.745,0.621,14.804,406,573,26.565,8.954,1.743,0.574,0.806
706,Image_14119-3.tif,30.307,26.316,0.55,10.606,73,549,110.556,4.203,3.009,0.332,0.829
707,Image_14119-3.tif,13.356,14.471,0.801,5.881,666,549,129.289,3.458,1.636,0.611,0.891
708,Image_14119-3.tif,15.41,15.056,0.854,5.395,145,559,32.471,4.138,1.287,0.777,0.887
709,Image_14119-3.tif,11.472,12.916,0.864,5.185,537,550,118.61,3.571,1.593,0.628,0.87
710,Image_14119-3.tif,12.842,14.571,0.76,6.11,26,560,28.301,3.49,1.68,0.595,0.829
711,Image_14119-3.tif,28.252,24.277,0.602,9.965,168,551,131.634,4.096,2.566,0.39,0.842
