 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_329_T0025.tif (red),147.0,53.6,0.6,19.9,794,220,154.0,12.3,1.5,0.7,0.9
2,Process_329_T0025.tif (red),333.2,82.1,0.6,26.8,851,235,121.7,19.0,1.4,0.7,0.8
3,Process_329_T0025.tif (red),286.7,68.8,0.8,23.5,804,283,40.7,17.4,1.0,1.0,0.9
4,Process_329_T0025.tif (red),168.7,52.8,0.8,18.3,931,298,39.5,12.6,1.3,0.8,0.9
5,Process_329_T0025.tif (red),335.0,74.1,0.8,23.5,580,283,148.0,19.8,1.0,1.0,0.9
6,Process_329_T0025.tif (red),171.3,62.3,0.6,20.1,836,325,75.7,15.7,1.2,0.8,0.8
7,Process_329_T0025.tif (red),412.4,98.8,0.5,30.7,790,354,80.7,20.3,1.3,0.8,0.8
8,Process_329_T0025.tif (red),294.2,69.2,0.8,24.2,884,323,39.4,17.5,1.2,0.8,0.9
9,Process_329_T0025.tif (red),214.9,63.5,0.7,22.3,545,293,133.5,13.0,1.7,0.6,0.9
10,Process_329_T0025.tif (red),171.0,58.0,0.6,18.5,730,305,146.0,15.5,1.2,0.8,0.9
11,Process_329_T0025.tif (red),433.4,91.5,0.6,29.0,940,359,60.9,23.4,1.2,0.9,0.9
12,Process_329_T0025.tif (red),532.2,101.8,0.6,34.9,984,299,115.3,22.3,1.7,0.6,0.9
13,Process_329_T0025.tif (red),72.7,34.7,0.8,13.4,817,300,119.7,7.9,1.8,0.6,0.9
14,Process_329_T0025.tif (red),247.2,64.1,0.8,21.0,842,333,37.8,17.7,1.1,0.9,0.9
15,Process_329_T0025.tif (red),74.4,37.0,0.7,14.3,724,330,163.1,7.5,2.2,0.4,0.9
16,Process_329_T0025.tif (red),3511.3,233.8,0.8,75.8,610,453,37.4,59.2,1.1,0.9,1.0
17,Process_329_T0025.tif (red),351.1,76.7,0.7,25.4,812,350,164.8,20.6,1.2,0.8,0.9
18,Process_329_T0025.tif (red),31.3,24.8,0.6,9.8,921,336,102.3,5.2,1.9,0.5,0.8
19,Process_329_T0025.tif (red),183.4,52.5,0.8,18.4,514,353,151.7,12.0,1.3,0.7,1.0
20,Process_329_T0025.tif (red),369.3,80.7,0.7,25.7,936,367,157.2,21.6,1.1,0.9,0.9
21,Process_329_T0025.tif (red),13.3,20.0,0.4,8.4,792,356,8.5,3.1,3.7,0.3,0.6
22,Process_329_T0025.tif (red),879.6,129.3,0.7,42.9,864,442,52.5,31.3,1.3,0.8,0.9
23,Process_329_T0025.tif (red),349.0,76.0,0.8,27.7,574,363,113.9,17.2,1.5,0.7,0.9
24,Process_329_T0025.tif (red),381.5,76.3,0.8,25.8,507,419,43.7,18.7,1.3,0.8,1.0
25,Process_329_T0025.tif (red),338.3,81.2,0.6,24.4,808,425,42.9,20.7,1.1,0.9,0.9
26,Process_329_T0025.tif (red),332.6,86.0,0.6,23.9,972,404,154.3,20.4,1.1,0.9,0.9
27,Process_329_T0025.tif (red),213.3,57.2,0.8,19.8,547,441,19.6,15.7,1.2,0.8,0.9
28,Process_329_T0025.tif (red),287.0,70.1,0.7,25.4,896,455,33.7,17.0,1.6,0.6,1.0
29,Process_329_T0025.tif (red),711.9,109.9,0.7,37.0,739,489,30.3,26.5,1.4,0.7,0.9
30,Process_329_T0025.tif (red),287.4,68.2,0.8,23.8,503,420,114.8,15.5,1.5,0.7,0.9
31,Process_329_T0025.tif (red),167.4,49.1,0.9,17.3,571,461,30.3,12.9,1.2,0.8,1.0
32,Process_329_T0025.tif (red),162.7,51.1,0.8,17.4,989,438,146.7,12.4,1.3,0.8,0.9
33,Process_329_T0025.tif (red),216.4,72.8,0.5,26.0,814,500,73.3,13.9,2.1,0.5,0.8
34,Process_329_T0025.tif (red),103.3,46.8,0.6,15.7,1022,467,37.5,10.8,1.6,0.6,0.8
35,Process_329_T0025.tif (red),171.7,55.3,0.7,18.6,1102,471,20.9,12.7,1.6,0.6,0.9
36,Process_329_T0025.tif (red),365.5,79.4,0.7,31.4,452,511,60.7,17.6,1.7,0.6,1.0
37,Process_329_T0025.tif (red),52.9,30.4,0.7,10.1,1086,453,125.0,8.1,1.4,0.7,0.9
38,Process_329_T0025.tif (red),380.0,79.2,0.8,27.6,908,506,48.7,20.7,1.1,0.9,0.9
39,Process_329_T0025.tif (red),824.4,120.5,0.7,39.2,835,535,50.6,29.0,1.3,0.7,0.9
40,Process_329_T0025.tif (red),338.7,71.8,0.8,24.1,533,504,35.9,19.3,1.3,0.8,0.9
41,Process_329_T0025.tif (red),381.5,86.8,0.6,29.6,1032,514,34.1,19.6,1.6,0.6,0.9
42,Process_329_T0025.tif (red),274.6,68.7,0.7,24.9,1154,469,108.4,14.1,1.7,0.6,0.9
43,Process_329_T0025.tif (red),505.7,93.9,0.7,32.4,469,531,36.1,20.0,1.7,0.6,0.9
44,Process_329_T0025.tif (red),313.4,70.3,0.8,25.1,945,533,77.6,17.0,1.5,0.7,0.9
45,Process_329_T0025.tif (red),159.9,51.1,0.8,18.0,779,509,49.7,12.3,1.4,0.7,0.9
46,Process_329_T0025.tif (red),175.1,55.4,0.7,19.4,992,489,146.3,13.6,1.5,0.7,0.9
