 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_311_T0025-1.tif (red),722.3,100.6,0.9,33.4,786,272,37.4,28.8,1.2,0.9,1.0
2,Process_311_T0025-1.tif (red),22.2,22.7,0.5,9.9,690,225,14.6,2.9,3.8,0.3,0.9
3,Process_311_T0025-1.tif (red),431.5,76.9,0.9,25.6,721,313,54.2,22.4,1.1,0.9,1.0
4,Process_311_T0025-1.tif (red),1420.1,143.5,0.9,46.5,829,353,50.1,37.2,1.2,0.8,1.0
5,Process_311_T0025-1.tif (red),1887.2,178.1,0.7,61.3,696,424,39.5,44.0,1.4,0.7,0.9
6,Process_311_T0025-1.tif (red),558.0,88.5,0.9,28.3,943,350,140.9,24.5,1.1,0.9,1.0
7,Process_311_T0025-1.tif (red),2242.7,183.1,0.8,62.6,555,452,31.2,45.1,1.4,0.7,1.0
8,Process_311_T0025-1.tif (red),1252.4,149.1,0.7,59.2,795,423,10.9,25.2,2.3,0.4,1.0
9,Process_311_T0025-1.tif (red),1429.9,153.4,0.8,53.6,974,468,34.9,39.2,1.4,0.7,0.9
10,Process_311_T0025-1.tif (red),919.4,115.3,0.9,39.3,466,415,148.8,30.1,1.3,0.8,1.0
11,Process_311_T0025-1.tif (red),380.8,74.5,0.9,24.5,789,438,151.7,19.3,1.2,0.8,1.0
12,Process_311_T0025-1.tif (red),1625.1,153.7,0.9,52.3,661,557,54.0,40.5,1.3,0.8,1.0
13,Process_311_T0025-1.tif (red),1100.5,131.4,0.8,49.4,857,481,172.8,26.6,1.8,0.5,1.0
14,Process_311_T0025-1.tif (red),2212.3,195.0,0.7,74.1,476,634,53.2,39.8,2.0,0.5,1.0
15,Process_311_T0025-1.tif (red),436.1,80.9,0.8,29.5,973,532,29.4,20.3,1.4,0.7,1.0
16,Process_311_T0025-1.tif (red),2840.5,210.8,0.8,79.1,717,588,9.4,47.0,1.7,0.6,1.0
17,Process_311_T0025-1.tif (red),109.8,38.8,0.9,12.6,1055,504,107.2,11.6,1.1,0.9,1.0
18,Process_311_T0025-1.tif (red),352.4,75.5,0.8,26.8,631,571,77.5,21.1,1.2,0.8,0.9
19,Process_311_T0025-1.tif (red),894.4,112.9,0.9,38.5,937,589,23.5,29.9,1.3,0.8,1.0
20,Process_311_T0025-1.tif (red),138.4,53.8,0.6,20.1,597,539,128.3,11.4,1.8,0.5,0.9
21,Process_311_T0025-1.tif (red),1423.9,156.5,0.7,51.8,532,660,41.1,40.8,1.3,0.8,0.9
22,Process_311_T0025-1.tif (red),565.2,90.1,0.9,28.5,991,621,12.6,26.4,1.1,0.9,1.0
23,Process_311_T0025-1.tif (red),829.4,108.8,0.9,38.0,659,666,15.9,27.4,1.4,0.7,1.0
24,Process_311_T0025-1.tif (red),3237.4,227.1,0.8,82.6,789,704,20.0,47.1,1.7,0.6,1.0
25,Process_311_T0025-1.tif (red),1711.7,158.8,0.9,56.3,585,704,165.0,37.8,1.5,0.7,1.0
26,Process_311_T0025-1.tif (red),1199.5,133.5,0.8,47.4,461,723,11.1,29.9,1.5,0.6,1.0
27,Process_311_T0025-1.tif (red),617.6,93.0,0.9,31.4,985,730,22.5,24.9,1.2,0.8,1.0
28,Process_311_T0025-1.tif (red),648.4,94.7,0.9,30.9,743,770,49.9,28.2,1.1,0.9,1.0
29,Process_311_T0025-1.tif (red),1049.9,123.2,0.9,41.1,973,815,31.0,33.7,1.2,0.8,1.0
30,Process_311_T0025-1.tif (red),874.5,111.4,0.9,37.6,509,785,7.0,28.2,1.3,0.8,1.0
31,Process_311_T0025-1.tif (red),1216.9,130.6,0.9,44.0,637,859,61.3,36.3,1.2,0.8,1.0
32,Process_311_T0025-1.tif (red),738.6,106.1,0.8,35.4,809,772,129.3,27.0,1.2,0.8,1.0
33,Process_311_T0025-1.tif (red),796.8,119.0,0.7,39.7,727,824,32.2,32.5,1.2,0.9,0.9
34,Process_311_T0025-1.tif (red),496.7,83.7,0.9,26.7,921,826,46.9,24.2,1.1,1.0,1.0
35,Process_311_T0025-1.tif (red),350.0,72.8,0.8,25.7,1062,842,67.2,19.7,1.3,0.8,1.0
36,Process_311_T0025-1.tif (red),1121.9,127.6,0.9,44.5,993,913,62.2,33.9,1.3,0.8,1.0
37,Process_311_T0025-1.tif (red),2575.7,217.2,0.7,78.8,646,927,7.9,48.9,1.7,0.6,0.9
38,Process_311_T0025-1.tif (red),717.8,100.5,0.9,33.8,561,840,146.5,28.2,1.2,0.8,1.0
39,Process_311_T0025-1.tif (red),1403.9,142.0,0.9,47.8,853,906,15.6,35.9,1.3,0.8,1.0
