 ,Label,Area,Mean,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
521,Image_14456-1.jpg (red)-1,22.994,255,19.934,0.727,7.368,646,474,73.61,4.998,1.489,0.672,0.842
522,Image_14456-1.jpg (red)-1,45.643,255,29.485,0.66,10.065,655,463,141.71,6.753,1.568,0.638,0.83
523,Image_14456-1.jpg (red)-1,28.7,255,21.799,0.759,8.368,749,475,63.435,4.544,1.948,0.513,0.871
524,Image_14456-1.jpg (red)-1,80.912,255,41.287,0.596,15.806,763,463,144.638,8.88,2.22,0.45,0.822
525,Image_14456-1.jpg (red)-1,29.045,255,20.564,0.863,7.356,230,460,132.709,5.559,1.255,0.797,0.916
526,Image_14456-1.jpg (red)-1,131.05,255,47.999,0.715,17.144,303,477,14.036,12.571,1.313,0.762,0.876
527,Image_14456-1.jpg (red)-1,30.774,255,21.009,0.876,7.262,559,474,66.371,6.322,1.034,0.967,0.91
528,Image_14456-1.jpg (red)-1,23.859,255,20.421,0.719,7.998,274,466,8.973,4.574,1.794,0.557,0.86
529,Image_14456-1.jpg (red)-1,59.993,255,32.996,0.692,11.892,359,478,36.469,8.316,1.467,0.682,0.875
530,Image_14456-1.jpg (red)-1,39.592,255,27.519,0.657,10.428,433,472,4.574,5.998,1.875,0.533,0.869
531,Image_14456-1.jpg (red)-1,18.326,255,16.019,0.897,5.791,593,469,21.038,4.41,1.219,0.821,0.91
532,Image_14456-1.jpg (red)-1,34.405,255,22.571,0.849,7.845,159,464,147.995,6.237,1.141,0.877,0.919
533,Image_14456-1.jpg (red)-1,10.719,255,13.323,0.759,5.421,578,462,147.529,2.789,2.097,0.477,0.844
534,Image_14456-1.jpg (red)-1,17.116,255,15.23,0.927,5.421,199,463,122.471,4.556,1.164,0.859,0.908
535,Image_14456-1.jpg (red)-1,141.251,255,50.578,0.694,18.224,470,505,62.85,10.084,1.917,0.522,0.918
536,Image_14456-1.jpg (red)-1,39.073,255,24.436,0.822,8.073,621,464,101.889,7.306,1.06,0.943,0.874
