 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_312_T0025-1.tif (red),1551.8,156.3,0.8,54.6,774,241,145.2,33.8,1.5,0.7,1.0
2,Process_312_T0025-1.tif (red),180.3,52.3,0.8,18.4,711,311,67.5,12.9,1.4,0.7,1.0
3,Process_312_T0025-1.tif (red),212.1,58.4,0.8,22.1,721,333,66.8,13.0,1.7,0.6,0.9
4,Process_312_T0025-1.tif (red),1063.0,135.9,0.7,50.5,596,368,21.7,24.1,2.1,0.5,1.0
5,Process_312_T0025-1.tif (red),409.9,75.4,0.9,24.5,541,324,156.0,22.3,1.1,0.9,1.0
6,Process_312_T0025-1.tif (red),1149.1,128.0,0.9,42.8,976,436,68.4,33.2,1.2,0.8,1.0
7,Process_312_T0025-1.tif (red),278.2,61.5,0.9,20.1,891,358,119.7,17.9,1.1,0.9,1.0
8,Process_312_T0025-1.tif (red),787.5,108.7,0.8,38.3,681,380,123.5,25.6,1.5,0.7,1.0
9,Process_312_T0025-1.tif (red),261.9,62.0,0.9,20.4,1093,388,146.6,16.7,1.2,0.8,1.0
10,Process_312_T0025-1.tif (red),1309.0,141.8,0.8,51.1,477,452,16.5,31.5,1.6,0.6,1.0
11,Process_312_T0025-1.tif (red),310.3,66.4,0.9,23.0,455,425,34.0,16.7,1.3,0.7,1.0
12,Process_312_T0025-1.tif (red),1309.6,136.7,0.9,43.9,752,457,22.2,39.1,1.0,1.0,1.0
13,Process_312_T0025-1.tif (red),339.0,71.2,0.8,24.4,1074,393,113.1,17.8,1.4,0.7,1.0
14,Process_312_T0025-1.tif (red),221.2,54.4,0.9,17.8,863,404,107.6,15.8,1.1,0.9,1.0
15,Process_312_T0025-1.tif (red),945.2,128.4,0.7,49.0,894,433,151.7,22.8,2.1,0.5,1.0
16,Process_312_T0025-1.tif (red),739.5,104.0,0.9,35.6,1006,508,53.5,26.4,1.4,0.7,1.0
17,Process_312_T0025-1.tif (red),791.8,109.4,0.8,36.6,664,455,128.6,27.5,1.3,0.8,1.0
