 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,24.965,22.768,0.605,9.480,441,6,156.801,3.849,3.012,0.332,0.831
2,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,25.998,21.795,0.688,8.554,532,14,14.036,5.394,1.711,0.584,0.799
3,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,101.754,40.841,0.767,14.493,376,27,13.241,9.242,1.533,0.652,0.918
4,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,112.773,41.025,0.842,15.035,412,35,39.401,10.373,1.195,0.837,0.960
5,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,151.340,48.855,0.797,17.452,576,29,18.004,11.854,1.386,0.721,0.934
6,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,38.911,24.427,0.819,8.753,549,31,31.430,7.054,1.174,0.852,0.893
7,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,262.908,73.584,0.610,26.971,616,22,143.130,11.858,2.327,0.430,0.912
8,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,45.109,27.462,0.752,10.036,313,37,29.745,6.831,1.328,0.753,0.876
9,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,27.375,21.351,0.755,7.981,500,21,117.897,5.809,1.334,0.750,0.859
10,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,45.626,27.219,0.774,9.185,525,38,18.435,7.638,1.043,0.959,0.886
11,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,30.819,20.865,0.890,7.981,482,24,117.897,5.809,1.369,0.730,0.920
12,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,57.678,32.400,0.690,12.204,456,51,35.311,7.452,1.761,0.568,0.855
13,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,17.906,16.615,0.815,5.984,344,31,146.310,4.564,1.324,0.755,0.863
14,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,41.149,25.115,0.820,8.792,556,44,19.290,6.430,1.252,0.799,0.910
15,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,12.569,15.299,0.675,5.779,376,33,111.038,3.633,1.683,0.594,0.785
16,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,35.123,23.455,0.802,8.236,327,52,40.914,6.044,1.376,0.727,0.872
17,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,39.772,26.146,0.731,9.361,433,42,167.196,6.639,1.364,0.733,0.860
18,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,27.375,21.108,0.772,8.057,257,39,101.889,4.629,1.820,0.549,0.888
19,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,141.009,47.355,0.790,17.823,399,78,65.225,10.711,1.678,0.596,0.925
20,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,60.949,31.167,0.788,11.211,499,61,38.991,7.479,1.322,0.756,0.922
21,Image_14104__2 hour mark_with scale bar-1.tif (red)_after filling in ice crystals-1_after threshold adjustment.tif,17.217,16.413,0.803,6.755,603,40,132.510,4.394,1.626,0.615,0.889
