 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Process_321_T0025-1.tif (red),212.6,56.6,0.8,18.1,776,252,58.1,15.6,1.1,0.9,0.9
2,Process_321_T0025-1.tif (red),559.0,92.0,0.8,34.0,737,216,102.7,21.4,1.6,0.6,1.0
3,Process_321_T0025-1.tif (red),1138.4,133.3,0.8,45.1,803,323,50.6,30.1,1.5,0.7,1.0
4,Process_321_T0025-1.tif (red),122.8,43.1,0.8,13.9,913,235,120.4,11.6,1.2,0.8,0.9
5,Process_321_T0025-1.tif (red),222.6,56.9,0.9,18.1,887,274,169.5,15.9,1.1,0.9,1.0
6,Process_321_T0025-1.tif (red),742.9,108.3,0.8,40.4,555,298,146.3,22.4,1.8,0.6,1.0
7,Process_321_T0025-1.tif (red),1054.4,122.6,0.9,40.7,853,389,39.2,34.0,1.2,0.8,1.0
8,Process_321_T0025-1.tif (red),177.5,51.0,0.9,17.4,526,326,141.8,12.7,1.4,0.7,0.9
9,Process_321_T0025-1.tif (red),510.1,85.3,0.9,28.7,768,392,67.9,22.8,1.2,0.8,1.0
10,Process_321_T0025-1.tif (red),219.9,56.7,0.9,18.9,700,335,142.1,16.3,1.1,0.9,0.9
11,Process_321_T0025-1.tif (red),277.2,63.6,0.9,21.9,641,335,142.7,17.0,1.3,0.8,1.0
12,Process_321_T0025-1.tif (red),304.7,66.7,0.9,22.3,720,372,138.0,18.0,1.2,0.8,1.0
13,Process_321_T0025-1.tif (red),560.9,90.0,0.9,30.4,1084,371,93.9,24.0,1.3,0.8,1.0
14,Process_321_T0025-1.tif (red),311.3,65.6,0.9,22.1,947,372,113.2,18.9,1.2,0.8,1.0
15,Process_321_T0025-1.tif (red),570.4,93.2,0.8,33.1,669,459,67.9,21.5,1.5,0.6,1.0
16,Process_321_T0025-1.tif (red),1141.9,132.3,0.8,46.7,558,483,48.2,30.4,1.5,0.7,1.0
17,Process_321_T0025-1.tif (red),1194.4,134.7,0.8,48.2,770,458,26.6,31.1,1.5,0.7,1.0
18,Process_321_T0025-1.tif (red),332.0,68.4,0.9,22.7,981,427,8.4,19.5,1.2,0.9,1.0
19,Process_321_T0025-1.tif (red),479.7,83.1,0.9,28.3,896,484,79.0,22.0,1.3,0.8,1.0
20,Process_321_T0025-1.tif (red),342.3,70.7,0.9,25.4,703,441,111.1,18.4,1.4,0.7,1.0
21,Process_321_T0025-1.tif (red),653.6,97.9,0.9,33.3,466,496,30.7,25.1,1.3,0.8,1.0
22,Process_321_T0025-1.tif (red),1058.2,129.1,0.8,47.8,1008,554,59.2,27.6,1.7,0.6,1.0
23,Process_321_T0025-1.tif (red),625.3,96.6,0.8,32.8,954,529,71.6,23.9,1.4,0.7,1.0
24,Process_321_T0025-1.tif (red),474.7,82.7,0.9,28.5,1101,521,53.3,22.1,1.2,0.8,1.0
25,Process_321_T0025-1.tif (red),412.7,78.0,0.9,27.5,617,478,118.9,19.1,1.4,0.7,1.0
26,Process_321_T0025-1.tif (red),334.5,69.5,0.9,24.5,662,491,156.0,17.7,1.4,0.7,1.0
27,Process_321_T0025-1.tif (red),755.8,107.2,0.8,39.4,749,578,69.7,25.5,1.6,0.6,1.0
28,Process_321_T0025-1.tif (red),294.6,68.4,0.8,24.5,542,541,61.7,15.4,1.6,0.6,0.9
29,Process_321_T0025-1.tif (red),1465.2,144.6,0.9,46.3,795,512,143.7,42.6,1.1,0.9,1.0
30,Process_321_T0025-1.tif (red),446.6,81.5,0.8,25.8,886,513,165.1,22.7,1.1,0.9,1.0
31,Process_321_T0025-1.tif (red),778.1,115.3,0.7,43.1,445,601,79.4,21.6,2.0,0.5,1.0
32,Process_321_T0025-1.tif (red),372.8,72.8,0.9,23.9,1100,525,123.7,21.2,1.1,0.9,1.0
33,Process_321_T0025-1.tif (red),334.7,68.2,0.9,22.6,487,557,13.8,20.0,1.1,0.9,1.0
34,Process_321_T0025-1.tif (red),794.4,107.1,0.9,35.2,669,538,98.1,28.6,1.2,0.8,1.0
35,Process_321_T0025-1.tif (red),1718.8,159.6,0.8,51.8,571,550,104.4,43.7,1.1,0.9,1.0
36,Process_321_T0025-1.tif (red),1067.1,122.8,0.9,40.7,1046,556,98.2,33.9,1.2,0.8,1.0
37,Process_321_T0025-1.tif (red),623.4,96.4,0.8,34.3,914,639,73.1,23.2,1.5,0.7,1.0
38,Process_321_T0025-1.tif (red),1148.2,130.9,0.8,44.1,775,691,52.3,31.3,1.4,0.7,1.0
39,Process_321_T0025-1.tif (red),882.6,117.4,0.8,43.3,455,693,65.6,26.2,1.7,0.6,1.0
40,Process_321_T0025-1.tif (red),1459.0,150.8,0.8,56.4,1127,732,83.2,32.1,1.8,0.6,1.0
41,Process_321_T0025-1.tif (red),688.0,98.6,0.9,33.3,977,602,95.0,27.4,1.2,0.8,1.0
42,Process_321_T0025-1.tif (red),410.8,75.9,0.9,25.0,699,622,168.5,21.4,1.2,0.9,1.0
43,Process_321_T0025-1.tif (red),1000.3,129.5,0.7,49.0,665,642,118.3,25.7,2.0,0.5,1.0
44,Process_321_T0025-1.tif (red),659.3,103.0,0.8,38.4,883,646,96.2,21.5,1.8,0.5,1.0
45,Process_321_T0025-1.tif (red),758.6,106.7,0.8,36.9,935,749,81.6,25.9,1.4,0.7,1.0
46,Process_321_T0025-1.tif (red),368.5,73.5,0.9,26.0,575,731,65.5,18.5,1.4,0.7,1.0
47,Process_321_T0025-1.tif (red),1017.7,120.8,0.9,40.8,1032,779,67.9,31.8,1.3,0.8,1.0
48,Process_321_T0025-1.tif (red),1709.5,165.8,0.8,56.7,506,829,84.1,37.0,1.5,0.7,1.0
49,Process_321_T0025-1.tif (red),731.4,103.1,0.9,36.5,773,718,160.7,26.1,1.4,0.7,1.0
50,Process_321_T0025-1.tif (red),841.1,117.4,0.8,44.0,626,805,82.4,22.9,1.9,0.5,1.0
51,Process_321_T0025-1.tif (red),911.0,127.2,0.7,49.7,725,754,146.6,22.1,2.3,0.4,1.0
52,Process_321_T0025-1.tif (red),383.3,74.5,0.9,25.3,930,782,23.2,20.6,1.3,0.8,1.0
53,Process_321_T0025-1.tif (red),129.1,43.8,0.8,15.2,700,779,55.0,12.3,1.1,0.9,0.9
54,Process_321_T0025-1.tif (red),1300.1,142.1,0.8,50.8,858,769,137.3,32.3,1.6,0.6,1.0
55,Process_321_T0025-1.tif (red),275.1,64.4,0.8,22.8,567,782,126.9,16.6,1.4,0.7,1.0
56,Process_321_T0025-1.tif (red),1317.1,136.8,0.9,45.6,689,889,76.8,38.7,1.1,0.9,1.0
57,Process_321_T0025-1.tif (red),1783.5,169.1,0.8,60.7,981,923,69.6,34.0,1.7,0.6,1.0
58,Process_321_T0025-1.tif (red),314.9,68.4,0.8,23.7,555,821,127.9,17.8,1.3,0.8,1.0
59,Process_321_T0025-1.tif (red),955.6,129.7,0.7,50.0,802,853,150.7,23.4,2.2,0.5,1.0
60,Process_321_T0025-1.tif (red),678.9,104.6,0.8,39.5,630,848,110.9,22.1,1.9,0.5,1.0
61,Process_321_T0025-1.tif (red),230.9,56.6,0.9,18.7,922,929,12.8,16.6,1.1,0.9,1.0
62,Process_321_T0025-1.tif (red),453.8,82.1,0.8,29.5,844,984,39.3,19.3,1.5,0.7,1.0
63,Process_321_T0025-1.tif (red),54.9,28.6,0.8,10.0,912,939,155.6,7.6,1.3,0.7,0.9
