 ,Label,Area,Perim.,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,Image_14477-1.jpg (red),154.190,52.035,0.716,18.959,709,181,69.590,10.579,1.816,0.551,0.903
2,Image_14477-1.jpg (red),279.182,78.215,0.573,26.265,691,239,65.854,15.052,1.627,0.615,0.848
3,Image_14477-1.jpg (red),27.662,23.216,0.645,8.357,738,181,98.531,5.913,1.292,0.774,0.781
4,Image_14477-1.jpg (red),16.905,15.135,0.927,5.916,779,184,155.225,4.132,1.372,0.729,0.930
5,Image_14477-1.jpg (red),32.614,25.796,0.616,11.119,924,183,131.987,4.675,2.689,0.372,0.834
6,Image_14477-1.jpg (red),25.442,20.052,0.795,7.217,953,201,76.759,5.468,1.369,0.731,0.851
7,Image_14477-1.jpg (red),68.131,40.873,0.512,14.604,765,189,115.115,8.956,1.817,0.550,0.734
8,Image_14477-1.jpg (red),27.321,21.947,0.713,7.449,767,199,19.440,5.592,1.369,0.730,0.831
9,Image_14477-1.jpg (red),16.392,16.688,0.740,6.468,785,199,26.565,3.719,1.846,0.542,0.881
10,Image_14477-1.jpg (red),15.197,15.478,0.797,6.017,985,199,15.945,4.091,1.355,0.738,0.844
11,Image_14477-1.jpg (red),78.034,40.005,0.613,15.789,965,192,96.009,8.410,1.876,0.533,0.849
12,Image_14477-1.jpg (red),17.758,20.436,0.534,7.311,744,207,42.709,3.881,2.083,0.480,0.768
13,Image_14477-1.jpg (red),36.370,30.513,0.491,9.423,822,194,105.255,7.446,1.240,0.806,0.740
14,Image_14477-1.jpg (red),12.977,15.861,0.648,6.253,948,196,97.595,2.893,2.331,0.429,0.854
15,Image_14477-1.jpg (red),111.843,52.519,0.510,20.197,712,241,59.237,9.302,2.736,0.366,0.815
16,Image_14477-1.jpg (red),89.304,38.936,0.740,12.936,984,200,116.565,9.599,1.351,0.740,0.887
17,Image_14477-1.jpg (red),30.394,22.732,0.739,9.286,866,202,122.276,4.751,2.123,0.471,0.883
18,Image_14477-1.jpg (red),15.197,14.551,0.902,5.873,789,204,140.711,4.011,1.580,0.633,0.913
19,Image_14477-1.jpg (red),95.622,44.680,0.602,15.961,616,204,111.251,9.757,1.847,0.541,0.860
20,Image_14477-1.jpg (red),14.002,14.309,0.859,4.993,851,216,65.556,4.470,1.080,0.926,0.863
21,Image_14477-1.jpg (red),10.074,13.140,0.733,4.837,739,213,19.983,3.306,1.544,0.648,0.825
22,Image_14477-1.jpg (red),25.955,21.221,0.724,8.519,830,229,67.166,4.805,1.939,0.516,0.864
23,Image_14477-1.jpg (red),25.613,22.490,0.636,7.764,941,211,115.201,5.844,1.345,0.744,0.794
24,Image_14477-1.jpg (red),16.734,17.815,0.663,6.455,838,225,50.194,4.203,1.481,0.675,0.807
25,Image_14477-1.jpg (red),24.418,19.326,0.822,7.797,894,216,147.995,4.123,1.981,0.505,0.891
26,Image_14477-1.jpg (red),15.368,22.048,0.397,8.519,645,215,129.094,3.528,3.422,0.292,0.641
27,Image_14477-1.jpg (red),11.611,12.213,0.978,4.470,793,222,33.690,3.719,1.134,0.882,0.938
28,Image_14477-1.jpg (red),56.690,32.708,0.666,11.429,841,227,167.471,8.474,1.155,0.866,0.788
29,Image_14477-1.jpg (red),27.491,21.705,0.733,7.938,603,221,128.660,5.682,1.440,0.694,0.880
30,Image_14477-1.jpg (red),34.321,29.686,0.489,11.241,867,239,36.027,5.599,2.122,0.471,0.720
31,Image_14477-1.jpg (red),14.514,13.825,0.954,5.388,672,224,147.529,3.799,1.433,0.698,0.899
32,Image_14477-1.jpg (red),10.928,14.209,0.680,5.916,808,237,65.225,3.080,2.347,0.426,0.837
33,Image_14477-1.jpg (red),11.270,12.556,0.898,4.837,940,224,109.983,3.306,1.356,0.737,0.898
34,Image_14477-1.jpg (red),25.101,21.463,0.685,7.797,963,238,32.005,5.485,1.710,0.585,0.801
35,Image_14477-1.jpg (red),81.449,37.968,0.710,12.097,977,245,7.853,9.610,1.218,0.821,0.887
36,Image_14477-1.jpg (red),10.757,12.898,0.813,5.388,930,229,122.471,3.094,2.019,0.495,0.829
37,Image_14477-1.jpg (red),32.102,23.216,0.748,9.682,726,231,129.806,4.709,2.141,0.467,0.900
38,Image_14477-1.jpg (red),27.662,22.532,0.685,8.202,797,233,130.914,5.785,1.466,0.682,0.816
39,Image_14477-1.jpg (red),32.102,23.701,0.718,9.611,892,233,115.463,5.844,1.501,0.666,0.836
40,Image_14477-1.jpg (red),10.245,13.040,0.757,5.178,681,250,61.390,3.240,1.714,0.583,0.851
41,Image_14477-1.jpg (red),76.327,41.858,0.547,14.621,811,243,137.291,9.533,1.610,0.621,0.829
42,Image_14477-1.jpg (red),54.129,30.613,0.726,11.695,619,241,122.005,6.787,1.745,0.573,0.871
43,Image_14477-1.jpg (red),29.370,27.449,0.490,10.331,750,261,53.130,6.095,2.289,0.437,0.683
44,Image_14477-1.jpg (red),10.074,12.656,0.790,5.044,858,247,34.992,3.306,1.440,0.695,0.874
45,Image_14477-1.jpg (red),20.490,18.057,0.790,7.061,841,241,110.556,4.498,1.654,0.605,0.857
46,Image_14477-1.jpg (red),11.611,12.898,0.877,5.044,928,251,55.008,3.506,1.482,0.675,0.901
