index,bin start,count
0,10.074,455
1,20.691,243
2,31.308,134
3,41.925,69
4,52.542,47
5,63.159,32
6,73.775,33
7,84.392,19
8,95.009,12
9,105.626,6
10,116.243,1
11,126.860,5
12,137.477,6
13,148.093,3
14,158.710,0
15,169.327,1
16,179.944,0
17,190.561,0
18,201.178,0
19,211.794,0
20,222.411,0
21,233.028,0
22,243.645,0
23,254.262,0
24,264.879,1
25,275.495,1
26,286.112,0
27,296.729,0
28,307.346,0
29,317.963,0
30,328.580,0
31,339.197,0
32,349.813,1
33,360.430,1
